"Title","Link","Published Date","Description"
"Separatismus treibt den Konflikt zwischen dem Iran und Pakistan","https://www.derstandard.at/story/3000000203687/separatismus-treibt-den-konflikt-zwischen-dem-iran-und-pakistan?ref=rss","Thu Jan 18 16:10:18 CET 2024","Durch die Raketenangriffe wächst die Angst, dass der Gazakrieg auf den ganzen Nahen Osten übergreift. Aber für beide Länder macht das strategisch keinen Sinn"
"Was uns Geflüchtete wirklich kosten","https://www.derstandard.at/story/3000000203697/was-uns-gefl252chtete-wirklich-kosten?ref=rss","Thu Jan 18 15:32:21 CET 2024","21,6 Milliarden Euro über zehn Jahre klingen viel, sind aber volkswirtschaftlich unbedeutend. Die Debatte über die finanziellen Belastungen von Asyl ist völlig aufgeblasen"
"So sind wir nicht? Oder sind wir nicht doch so?","https://www.derstandard.at/story/3000000203732/so-sind-wir-nicht-oder-sind-wir-nicht-doch-so?ref=rss","Thu Jan 18 18:18:10 CET 2024","Gedanken zum Sager des Bundespräsidenten, vier Jahre später"
"Warum sind vegane Ersatzprodukte oft teurer als Fleisch?","https://www.derstandard.at/story/3000000203492/warum-sind-vegane-ersatzprodukte-oft-teurer-als-fleisch?ref=rss","Thu Jan 18 16:03:01 CET 2024","Bis zu 40 Prozent mehr müssen Menschen im Supermarkt für pflanzliche Ersatzprodukte im Vergleich zu Fleisch oder Milch zahlen. Die Gründe dafür sind vielfältig"
"Warum der Verlust einer Awacs-Maschine Russland extrem wehtut","https://www.derstandard.at/story/3000000203518/warum-der-verlust-einer-awacs-maschine-russland-extrem-wehtut?ref=rss","Thu Jan 18 08:13:14 CET 2024","Die ukrainischen Streitkräfte haben eine A-50 über dem Asowschen Meer abgeschossen. Diese Spionageflieger sind Russlands Augen in der Luft – und es gibt kaum noch welche"
"Zwischen Tourismusturbo und Todesangst: Der Mythos Streif","https://www.derstandard.at/story/3000000203727/zwischen-tourismusturbo-und-todesangst-der-mythos-streif?ref=rss","Thu Jan 18 18:22:14 CET 2024","Stephan Eberharter sprach von ""Todesangst"", Fritz Strobl hatte ""die Hose voll"". Eigentlich müsste die Streif Straiff heißen"
"SPÖ-Symposium will Frauen aufrütteln","https://www.derstandard.at/story/3000000203550/spoe-symposium-will-frauen-aufruetteln?ref=rss","Thu Jan 18 19:06:57 CET 2024","Sonja Kato, ehemalige Sprecherin von Barbara Prammer als Frauenministerin, moderiert das gleichnamige Symposium im Parlament. Am Freitag findet es zum zehnten Mal statt"
"Mordprozess um 86-Jährigen, der Sohn erschießen und in Ruhe fernsehen wollte","https://www.derstandard.at/story/3000000203656/mordprozess-um-86-jaehrigen-der-sohn-erschiessen-und-in-ruhe-fernsehen-wollte?ref=rss","Thu Jan 18 15:22:40 CET 2024","Ein Pensionist soll versucht haben, seinen Sohn zu töten, scheiterte aber an der Sicherung der Pistole. Es sei nur eine Drohung gewesen, sagt der Angeklagte"
"Türkisch-deutsches Paar wurde um sein Recht auf Zusammenleben gebracht","https://www.derstandard.at/story/3000000203593/tuerkisch-deutsches-paar-wurde-um-sein-recht-auf-zusammenleben-gebracht?ref=rss","Thu Jan 18 12:13:59 CET 2024","Laut Fremdenbehörden hatte sich der Bräutigam vielfach der Festnahme entzogen. Doch der Kurde war täglich im Bistro seines Onkels anzutreffen, wo er legal jobbte"
"Der Cybertruck enttäuscht weiter – und Tesla schummelte beim angeblichen Rennen","https://www.derstandard.at/story/3000000203606/der-cybertruck-enttaeuscht-weiter-und-tesla-schummelte-beim-angeblichen-rennen?ref=rss","Thu Jan 18 16:03:52 CET 2024","Die ungeschützte Oberfläche zerkratzt, und auch die Reichweite erweist sich in der Praxis als enttäuschend, wie Tests und Erfahrungsberichte zeigen"
